PS Name,PS Name_enc
Mavelikara,6.111111111111111
Chengannur,8.23076923076923
Harippad,9.333333333333334
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Pulincunnu,3.2
Punnapra,7.416666666666667
Ramankari,3.2
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Veeyapuram,3.0
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nooranadu,8.11111111111111
Poochakkal,4.181818181818182
Pulincunnu,3.2
Punnapra,7.416666666666667
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Venmony,2.0
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Harippad,9.333333333333334
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kuthiathode PS,7.818181818181818
Mannar,2.625
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
Poochakkal,4.181818181818182
Punnapra,7.416666666666667
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Pulincunnu,3.2
Punnapra,7.416666666666667
Ramankari,3.2
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Kayamkulam,7.545454545454546
Ramankari,3.2
Aroor,6.545454545454546
Cherthala,6.846153846153846
Mararikkulam,5.1
Poochakkal,4.181818181818182
Punnapra,7.416666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Harippad,9.333333333333334
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Punnapra,7.416666666666667
Thrikkunnapuzha,2.888888888888889
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Pulincunnu,3.2
Punnapra,7.416666666666667
Ramankari,3.2
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Aroor,6.545454545454546
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kuthiathode PS,7.818181818181818
Mararikkulam,5.1
Mavelikara,6.111111111111111
Muhamma,6.857142857142857
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Punnapra,7.416666666666667
Vallikunnam,3.6666666666666665
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kayamkulam,7.545454545454546
Kurathikad,3.142857142857143
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mararikkulam,5.1
Nooranadu,8.11111111111111
Pattanakkadu,5.666666666666667
Poochakkal,4.181818181818182
Punnapra,7.416666666666667
Thrikkunnapuzha,2.888888888888889
Vallikunnam,3.6666666666666665
Alappuzha North,8.181818181818182
Alappuzha South,9.272727272727273
Ambalapuzha,7.7
Aroor,6.545454545454546
Arthinkal,5.166666666666667
Chengannur,8.23076923076923
Cherthala,6.846153846153846
Edathua,2.875
Harippad,9.333333333333334
Kanakakunnu,1.5555555555555556
Kareelakulangara,6.2727272727272725
Kuthiathode PS,7.818181818181818
Mannachery,8.222222222222221
Mannar,2.625
Mararikkulam,5.1
Nedumudy,2.1666666666666665
Nooranadu,8.11111111111111
